Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
1,1,3,-9.6733,-3.4518,25.7067,0.2151,1,119,5,25.7067,25.7067
1,1,1,-7.3031,-7.0861,25.9054,0.2394,16,52,5,25.9054,0.1987
1,1,1,-5.2979,-1.4473,25.9321,0.2298,28,155,5,25.9321,0.0267
1,1,4,-5.9094,-4.6215,26.0676,0.2173,24,97,5,26.0676,0.1355
2,1,3,-6.2935,5.1106,26.0862,0.2306,22,274,5,51.086200000000005,25.0186
2,1,3,-9.5816,2.9053,26.2709,0.2708,2,234,5,51.2709,0.1847
3,1,3,-5.727,5.2785,26.1251,0.3256,25,277,5,76.1251,24.8542
3,1,3,-5.928,2.6366,26.136,0.2315,24,229,5,76.136,0.0109
4,1,3,-5.8023,5.0873,26.1472,0.298,25,274,5,101.1472,25.0112
4,1,2,-6.4283,-3.5177,26.4397,0.2212,21,117,5,101.4397,0.2925
5,1,1,-6.7152,-1.555,26.6222,0.6857,19,153,5,126.62219999999999,25.1825
6,1,1,-6.7741,2.8949,25.6508,0.2322,19,234,5,150.6508,24.0286
6,1,1,-8.1025,0.7098,25.8927,0.302,11,194,5,150.8927,0.2419
6,1,2,-6.1777,6.6666,26.0989,0.2806,23,303,5,151.09890000000001,0.2062
6,1,1,-5.8874,-9.0457,31.1272,1.2751,24,17,5,156.1272,5.0283
7,1,2,-7.2647,2.1249,25.96,0.3335,16,220,5,175.96,19.8328
8,1,3,-6.1057,-5.3572,26.0604,0.2306,23,84,5,201.06040000000002,25.1004
9,1,1,-7.2693,-2.8598,25.986,0.2106,16,129,5,225.986,24.9256
10,1,4,-8.1955,3.0341,25.9803,0.322,10,236,5,250.9803,24.9943
10,1,3,-5.649,-0.63,26.223,0.2854,26,170,5,251.223,0.2427
10,1,3,-5.8461,0.6869,26.2238,0.2702,25,194,5,251.2238,0.0008
10,1,1,-5.224,2.11,27.5883,0.3394,28,220,5,252.5883,1.3645
11,1,2,-9.6183,0.473,26.028,0.2237,2,190,5,276.028,23.4397
